"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"18 Abbeywood Cres, Guelph, ON N1K 1T9","N1K1T9","Guelph","ON","899900","4","4","1398","643.71","4650","sqft","https://zillow.com/homedetails/18-Abbeywood-Cres-Guelph-ON-N1K-1T9/449397562_zpid/","43.525806","-80.27824","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/d52ecb140d41db1201b280d0033db6fc-p_e.jpg"
"145 Kortright Rd W, Guelph, ON N1G 3N9","N1G3N9","Guelph","ON","899999","5","2","1493","602.81","5151","sqft","https://zillow.com/homedetails/145-Kortright-Rd-W-Guelph-ON-N1G-3N9/2062928517_zpid/","43.51516","-80.21942","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/7f12c564d072e5560a63917f2296b9f3-p_e.jpg"
"15 Abbeywood Cres, Guelph, ON N1K 1T9","N1K1T9","Guelph","ON","899900","5","2","1553","579.46","","","https://zillow.com/homedetails/15-Abbeywood-Cres-Guelph-ON-N1K-1T9/449324760_zpid/","43.525528","-80.27865","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/6da83c5655e0966a2c51aa11cca2f934-p_e.jpg"
"155 Stephanie Dr, Guelph, ON N1K 1X7","N1K1X7","Guelph","ON","899900","4","3","","","3565.8117","sqft","https://zillow.com/homedetails/155-Stephanie-Dr-Guelph-ON-N1K-1X7/401704918_zpid/","43.528328","-80.27611","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/aa1d03278de9154e76c04cac8515a086-p_e.jpg"
"244 Alma St N, Guelph, ON N1H 5Y2","N1H5Y2","Guelph","ON","679900","4","2","979","694.48","5300","sqft","https://zillow.com/homedetails/244-Alma-St-N-Guelph-ON-N1H-5Y2/449844461_zpid/","43.542816","-80.2728","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/99f89cbb99300a484ca35c082747d7ac-p_e.jpg"
"1291 Gordon St #218, Guelph, ON N1L 0M5","N1L0M5","Guelph","ON","549900","3","3","","","","","https://zillow.com/homedetails/1291-Gordon-St-218-Guelph-ON-N1L-0M5/2066471311_zpid/","43.513924","-80.200325","APARTMENT","","","https://photos.zillowstatic.com/fp/610d1835ad663221453e75e3484ec823-p_e.jpg"
"29 Golfview Rd, Guelph, ON N1E 1A5","N1E1A5","Guelph","ON","779000","7","2","","","5460","sqft","https://zillow.com/homedetails/29-Golfview-Rd-Guelph-ON-N1E-1A5/2064656765_zpid/","43.574535","-80.26695","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/0e1de56443f4084e63fad50ade9ecb93-p_e.jpg"
"144 Country Club Dr, Guelph, ON N1E 3K9","N1E3K9","Guelph","ON","839900","4","2","","","6027.78","sqft","https://zillow.com/homedetails/144-Country-Club-Dr-Guelph-ON-N1E-3K9/449836590_zpid/","43.574154","-80.26983","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/8efd5a02d47ef3c95e76e4aab86cfdec-p_e.jpg"
"126 Queen St, Guelph, ON N1E 4S1","N1E4S1","Guelph","ON","849500","5","2","","","2053.5","sqft","https://zillow.com/homedetails/126-Queen-St-Guelph-ON-N1E-4S1/449844831_zpid/","43.553062","-80.25177","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fc69d7219065a1469d51141921d2c2c2-p_e.jpg"
"227 Dimson Ave, Guelph, ON N1G 3C7","N1G3C7","Guelph","ON","1200000","4","3","","","0.179","sqft","https://zillow.com/homedetails/227-Dimson-Ave-Guelph-ON-N1G-3C7/449840036_zpid/","43.52455","-80.21152","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/9a33580317e545296501005969afa307-p_e.jpg"
"10 Kearney St, Guelph, ON N1E 7H2","N1E7H2","Guelph","ON","749900","3","2","","","4002.4002","sqft","https://zillow.com/homedetails/10-Kearney-St-Guelph-ON-N1E-7H2/449642288_zpid/","43.564793","-80.22176","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/3946e34dc5143efe63568f6b6851ad0f-p_e.jpg"
"62 Kearney St, Guelph, ON N1E 7H4","N1E7H4","Guelph","ON","775000","3","2","","","2831.63","sqft","https://zillow.com/homedetails/62-Kearney-St-Guelph-ON-N1E-7H4/2057933701_zpid/","43.565083","-80.224884","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4a88b88e67961420e41a851c30a1c74e-p_e.jpg"
"46 Caledonia St, Guelph, ON N1G 2C9","N1G2C9","Guelph","ON","1050000","5","2","","","9081.9612","sqft","https://zillow.com/homedetails/46-Caledonia-St-Guelph-ON-N1G-2C9/449628424_zpid/","43.530674","-80.237526","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/135f3de709a961b20613e1bc56daac96-p_e.jpg"
"22 Tolton Dr, Guelph, ON N1L 0C5","N1L0C5","Guelph","ON","1149900","4","3","2424","474.38","5097.1661","sqft","https://zillow.com/homedetails/22-Tolton-Dr-Guelph-ON-N1L-0C5/449631844_zpid/","43.509056","-80.17816","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ce4c6153b274d70cc2b1b02b4f02214d-p_e.jpg"
"755 Willow Rd #38, Guelph, ON N1K 2A2","N1K2A2","Guelph","ON","899900","3","3","","","","","https://zillow.com/homedetails/755-Willow-Rd-38-Guelph-ON-N1K-2A2/2060849170_zpid/","43.526165","-80.30161","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/c22ef2cb728b980b5a03f73dba707b3b-p_e.jpg"
"31 Reid Ct, Guelph, ON N0B 2J0","N0B2J0","Guelph","ON","3389000","6","4","","","0.5","acres","https://zillow.com/homedetails/31-Reid-Ct-Guelph-ON-N0B-2J0/401785030_zpid/","43.51382","-80.23145","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/cf0809e0c03fc14885c985a470f4a041-p_e.jpg"
"37 Swift Cres, Guelph, ON N1E 7J3","N1E7J3","Guelph","ON","750000","3","3","","","2716.01","sqft","https://zillow.com/homedetails/37-Swift-Cres-Guelph-ON-N1E-7J3/448870826_zpid/","43.5705","-80.21791","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fd8873ee94219b86006e88186139754c-p_e.jpg"
"26 Ontario St #310, Guelph, ON N1E 7K1","N1E7K1","Guelph","ON","599900","2","2","1100","545.36","","","https://zillow.com/homedetails/26-Ontario-St-310-Guelph-ON-N1E-7K1/448840931_zpid/","43.54495","-80.23999","CONDO","","","https://photos.zillowstatic.com/fp/a3602c62f2bc13630eb1e311b3a44a6c-p_e.jpg"
"120 Huron St #421, Guelph, ON N1E 0S7","N1E0S7","Guelph","ON","525000","1","1","627","837.32","","","https://zillow.com/homedetails/120-Huron-St-421-Guelph-ON-N1E-0S7/374898882_zpid/","43.547634","-80.23565","CONDO","","","https://photos.zillowstatic.com/fp/2f3716ec5b2a9a2304618bf98cb2ae41-p_e.jpg"
"18 Valleyview Dr, Guelph, ON N1H 6E3","N1H6E3","Guelph","ON","729900","3","2","","","6060","sqft","https://zillow.com/homedetails/18-Valleyview-Dr-Guelph-ON-N1H-6E3/449326727_zpid/","43.542503","-80.27931","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ac6392613b016557a8252e6094f57706-p_e.jpg"
"23 Fountain St W, Guelph, ON N1H 3P1","N1H3P1","Guelph","ON","534900","2","1","","","4109.62","sqft","https://zillow.com/homedetails/23-Fountain-St-W-Guelph-ON-N1H-3P1/449377658_zpid/","43.540802","-80.24744","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/beee8231c5cf65e4ad80421e40428fcf-p_e.jpg"
"16 Fairview Blvd, Guelph, ON N1G 1H4","N1G1H4","Guelph","ON","979900","4","2","","","6989.02","sqft","https://zillow.com/homedetails/16-Fairview-Blvd-Guelph-ON-N1G-1H4/2062741557_zpid/","43.53568","-80.2388","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b96de173b1ddf159aee59326c0f2c6b3-p_e.jpg"
"30 McGarr Ct, Guelph, ON N1L 1N5","N1L1N5","Guelph","ON","1329900","5","4","2813","472.77","","","https://zillow.com/homedetails/30-McGarr-Ct-Guelph-ON-N1L-1N5/449355333_zpid/","43.50895","-80.18564","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b9196e87d8f302878487197c529325f8-p_e.jpg"
"265 London Rd W, Guelph, ON N1H 2C7","N1H2C7","Guelph","ON","749900","3","1","1592","471.04","4536","sqft","https://zillow.com/homedetails/265-London-Rd-W-Guelph-ON-N1H-2C7/449036471_zpid/","43.542652","-80.267075","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/dcc57eb9f6e94a8e84c75474ec87ac0c-p_e.jpg"
"36 Rosewood Ave, Guelph, ON N1H 5Z9","N1H5Z9","Guelph","ON","839900","5","2","","","6566","sqft","https://zillow.com/homedetails/36-Rosewood-Ave-Guelph-ON-N1H-5Z9/449397514_zpid/","43.539444","-80.271454","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/9b56883ff545dee99c1934e59a6b103a-p_e.jpg"
