"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"485 Gowland Cres, Milton, ON L9T 4G6","L9T4G6","Milton","ON","999900","4","3","","","7378.182","sqft","https://zillow.com/homedetails/485-Gowland-Cres-Milton-ON-L9T-4G6/449660669_zpid/","43.510757","-79.86126","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/d829419f2c747e111aab3da5e184bb72-p_e.jpg"
"1106 Bowring Cres, Milton, ON L9T 6H6","L9T6H6","Milton","ON","949900","3","3","","","2640","sqft","https://zillow.com/homedetails/1106-Bowring-Cres-Milton-ON-L9T-6H6/449619757_zpid/","43.51522","-79.8439","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/6553869c623a5d84faa490002fc58093-p_e.jpg"
"1063 Wallbrook Cres, Milton, ON L9T 5W4","L9T5W4","Milton","ON","899999","3","3","1470","612.24","2294.0452","sqft","https://zillow.com/homedetails/1063-Wallbrook-Cres-Milton-ON-L9T-5W4/448740162_zpid/","43.51786","-79.84854","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/73d646aec9eeb6fb3b90b2e60d0b9ae5-p_e.jpg"
"828 Gazley Cir, Milton, ON L9T 6M2","L9T6M2","Milton","ON","899900","3","3","","","2298.868","sqft","https://zillow.com/homedetails/828-Gazley-Cir-Milton-ON-L9T-6M2/448797825_zpid/","43.518127","-79.83645","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/c715804866ce8a12480bb418a4047bef-p_e.jpg"
"217 Woodley Cres NW, Milton, ON L9T 8B8","L9T8B8","Milton","ON","829000","3","2","","","1179.976","sqft","https://zillow.com/homedetails/217-Woodley-Cres-NW-Milton-ON-L9T-8B8/449847976_zpid/","43.489864","-79.86105","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/85e3436090f02d8bc47456ad93d10faa-p_e.jpg"
"1240 Field Dr, Milton, ON L9T 6G4","L9T6G4","Milton","ON","1525000","3","3","","","0.086","sqft","https://zillow.com/homedetails/1240-Field-Dr-Milton-ON-L9T-6G4/449741186_zpid/","43.5218","-79.84735","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4c32d82642ea9c0e69b6fde7b923ad37-p_e.jpg"
"1475 Pratt Hts, Milton, ON L9E 1J3","L9E1J3","Milton","ON","905000","3","3","","","2255.5","sqft","https://zillow.com/homedetails/1475-Pratt-Hts-Milton-ON-L9E-1J3/2080305740_zpid/","43.480957","-79.84876","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/42a56d05d8a94e04410453797a4ab95f-p_e.jpg"
"365 Laundon Ter, Milton, ON L9T 7N9","L9T7N9","Milton","ON","1497000","4","4","","","3809.8258","sqft","https://zillow.com/homedetails/365-Laundon-Ter-Milton-ON-L9T-7N9/2070580316_zpid/","43.490623","-79.88972","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/717d2f74534a080ff40b9adbb726edbf-p_e.jpg"
"1419 Costigan Rd #303, Milton, ON L9T 2L4","L9T2L4","Milton","ON","599900","2","2","1166","514.49","","","https://zillow.com/homedetails/1419-Costigan-Rd-303-Milton-ON-L9T-2L4/449628534_zpid/","43.525864","-79.84879","CONDO","","","https://photos.zillowstatic.com/fp/cc6330dc511faf23bb372a531ec330a7-p_e.jpg"
"289 Elmwood Cres, Milton, ON L9T 1C3","L9T1C3","Milton","ON","1385000","5","2","","","7200","sqft","https://zillow.com/homedetails/289-Elmwood-Cres-Milton-ON-L9T-1C3/2058424211_zpid/","43.505936","-79.87958","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4398235c4e0e26b4956b76487a309052-p_e.jpg"
"1009 Kennedy Cir, Milton, ON L9T 5S4","L9T5S4","Milton","ON","874900","3","3","1200","729.08","1735.44","sqft","https://zillow.com/homedetails/1009-Kennedy-Cir-Milton-ON-L9T-5S4/449659039_zpid/","43.508575","-79.83951","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/d085bcf42db111134e3033a5ec97526e-p_e.jpg"
"522 Roseheath Dr, Milton, ON L9T 4V6","L9T4V6","Milton","ON","1198000","4","3","","","3635.0496","sqft","https://zillow.com/homedetails/522-Roseheath-Dr-Milton-ON-L9T-4V6/2068680301_zpid/","43.500492","-79.87239","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/0a19896dc3c314b7ade3876f3e53880e-p_e.jpg"
"817 Watson Ter, Milton, ON L9T 5Z8","L9T5Z8","Milton","ON","1149000","3","3","","","3174.7901","sqft","https://zillow.com/homedetails/817-Watson-Ter-Milton-ON-L9T-5Z8/449656456_zpid/","43.523304","-79.831406","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4c88dfd2a0e6f27210cab09ee0e41e0f-p_e.jpg"
"932 Cherry Ct, Milton, ON L9E 1P8","L9E1P8","Milton","ON","977000","4","3","","","1771","sqft","https://zillow.com/homedetails/932-Cherry-Ct-Milton-ON-L9E-1P8/444956577_zpid/","43.49922","-79.828636","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/34e1d52b6d0c590e3c2fa2648492f7fa-p_e.jpg"
"882 Magnolia Ter, Milton, ON L9E 1R2","L9E1R2","Milton","ON","1419900","4","3","","","3196.8522","sqft","https://zillow.com/homedetails/882-Magnolia-Ter-Milton-ON-L9E-1R2/2053534594_zpid/","43.498596","-79.83251","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/d13c1648506cd3c414b0b76732f4a296-p_e.jpg"
"471 Grey Lndg, Milton, ON L9E 0B4","L9E0B4","Milton","ON","1099900","4","3","","","2659.1716","sqft","https://zillow.com/homedetails/471-Grey-Lndg-Milton-ON-L9E-0B4/2067094615_zpid/","43.48804","-79.84064","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/71e7f9cd883d61a06eaf22733ebc631a-p_e.jpg"
"396 Scott Blvd, Milton, ON L9T 0T2","L9T0T2","Milton","ON","1949999","5","4","","","3806.2826","sqft","https://zillow.com/homedetails/396-Scott-Blvd-Milton-ON-L9T-0T2/449633683_zpid/","43.49557","-79.88192","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e9decdbc24450212816472150412efdc-p_e.jpg"
"1121 Meighen Way, Milton, ON L9T 6V6","L9T6V6","Milton","ON","1549000","6","5","","","3928.82","sqft","https://zillow.com/homedetails/1121-Meighen-Way-Milton-ON-L9T-6V6/2077947855_zpid/","43.514282","-79.83446","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/05c894892b8426c7fade2bd862a5e185-p_e.jpg"
"4490 Henderson Rd, Milton, ON L9E 0K1","L9E0K1","Milton","ON","14399000","6","11","","","4.0109","acres","https://zillow.com/homedetails/4490-Henderson-Rd-Milton-ON-L9E-0K1/2067052767_zpid/","43.460396","-79.812164","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/bd94ac3e5493f86ff5f3c80d1d6e82ea-p_e.jpg"
"3029 Burnhamthorpe Rd W, Milton, ON L9E 0J7","L9E0J7","Milton","ON","3499900","3","2","","","2.4502","acres","https://zillow.com/homedetails/3029-Burnhamthorpe-Rd-W-Milton-ON-L9E-0J7/439874001_zpid/","43.44854","-79.79652","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ba593d06f335529683f88a0e69a06c04-p_e.jpg"
"700 Serafini Cres, Milton, ON L9T 7P4","L9T7P4","Milton","ON","1699000","6","5","","","451.38","sqft","https://zillow.com/homedetails/700-Serafini-Cres-Milton-ON-L9T-7P4/2061868904_zpid/","43.499374","-79.863434","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/64d0f346584f234b4cb5255bbf9986d9-p_e.jpg"
"166 Ellis Cres, Milton, ON L9T 6B6","L9T6B6","Milton","ON","1248000","4","3","","","3699.7716","sqft","https://zillow.com/homedetails/166-Ellis-Cres-Milton-ON-L9T-6B6/2059976509_zpid/","43.530525","-79.85818","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/6f97eaac20c8b92ce2b14bc78cbe5f74-p_e.jpg"
