address,zipCode,city,state,price,bed,bath,sqft,pricePerSf,lotArea,lotAreaType,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl
"1029 Edgeleigh Ave, Mississauga, ON L5E 2E9",L5E2E9,Mississauga,ON,899000,3,2,,,4573.2,sqft,https://zillow.com/homedetails/1029-Edgeleigh-Ave-Mississauga-ON-L5E-2E9/449700270_zpid/,43.577168,-79.56006,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/061ff60db55e727b0ce605d42e71597f-p_e.jpg
"1106 Haig Blvd, Mississauga, ON L5E 2M5",L5E2M5,Mississauga,ON,948000,4,3,,,2625,sqft,https://zillow.com/homedetails/1106-Haig-Blvd-Mississauga-ON-L5E-2M5/449629603_zpid/,43.581783,-79.55877,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/267d72b0ca1a1febebb0a4f10a728e54-p_e.jpg
"6238 Kindree Cir, Mississauga, ON L5N 3C2",L5N3C2,Mississauga,ON,1029000,4,3,,,4360.2,sqft,https://zillow.com/homedetails/6238-Kindree-Cir-Mississauga-ON-L5N-3C2/449847592_zpid/,43.569183,-79.75527,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/43f6e971f06a3dcc01da3aaaa34039cb-p_e.jpg
"3173 Eclipse Ave, Mississauga, ON L5M 7X3",L5M7X3,Mississauga,ON,998000,4,4,,,2434.462,sqft,https://zillow.com/homedetails/3173-Eclipse-Ave-Mississauga-ON-L5M-7X3/2071879705_zpid/,43.54502,-79.72406,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/d47c52c004ae0c1c4636117d271e8d03-p_e.jpg
"4538 Credit Pointe Dr, Mississauga, ON L5M 3L9",L5M3L9,Mississauga,ON,2399880,5,4,,,0.303600781,acres,https://zillow.com/homedetails/4538-Credit-Pointe-Dr-Mississauga-ON-L5M-3L9/449694181_zpid/,43.57006,-79.68878,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/f11777effef5c034345d6d14119da6ab-p_e.jpg
"3316 Greenbelt Cres, Mississauga, ON L5N 5X1",L5N5X1,Mississauga,ON,1150000,3,4,,,3743.26,sqft,https://zillow.com/homedetails/3316-Greenbelt-Cres-Mississauga-ON-L5N-5X1/449848589_zpid/,43.564613,-79.75537,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/aca7910974bb58b09243dcb817ee640e-p_e.jpg
"7521 Doverwood Dr, Mississauga, ON L5N 7P3",L5N7P3,Mississauga,ON,1149900,3,3,,,5616,sqft,https://zillow.com/homedetails/7521-Doverwood-Dr-Mississauga-ON-L5N-7P3/449752276_zpid/,43.593025,-79.78496,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/3b84ced1f095b21512a3ad27d011b905-p_e.jpg
"3927 Coachman Cir, Mississauga, ON L5M 6R1",L5M6R1,Mississauga,ON,799000,3,4,,,2067.2531,sqft,https://zillow.com/homedetails/3927-Coachman-Cir-Mississauga-ON-L5M-6R1/2055279897_zpid/,43.554726,-79.75792,TOWNHOUSE,,,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=43.554725646972656,-79.75791931152344&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=AmaSxOLKdGm2m5-1WbicCTiczuk="
"2454 Willowburne Dr, Mississauga, ON L5M 5G1",L5M5G1,Mississauga,ON,1399900,5,4,,,3920.2432,sqft,https://zillow.com/homedetails/2454-Willowburne-Dr-Mississauga-ON-L5M-5G1/449770216_zpid/,43.56635,-79.71943,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/f4970527b136cc94a7094f45cb412190-p_e.jpg
"2055 Fontwell Cres, Mississauga, ON L5J 2G6",L5J2G6,Mississauga,ON,959000,3,2,1004,955.18,3283.296,sqft,https://zillow.com/homedetails/2055-Fontwell-Cres-Mississauga-ON-L5J-2G6/449844890_zpid/,43.519485,-79.646454,SINGLE_FAMILY,,,https://photos.zillowstatic.com/fp/a131427dd16c1b84c956c28c32dc41da-p_e.jpg
