"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"3061 Mistletoe Gdns, Oakville, ON L6M 0Y8","L6M0Y8","Oakville","ON","899990","3","3","1408","639.2","86.76","sqft","https://zillow.com/homedetails/3061-Mistletoe-Gdns-Oakville-ON-L6M-0Y8/351803627_zpid/","43.47212","-79.740746","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/3bed4eef9b5f5f0f9328bebfc0b36d3b-p_e.jpg"
"310 Morden Rd, Oakville, ON L6K 2S7","L6K2S7","Oakville","ON","899000","5","2","","","5341.508","sqft","https://zillow.com/homedetails/310-Morden-Rd-Oakville-ON-L6K-2S7/2063721038_zpid/","43.43734","-79.68982","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f766c2351c29925b7b84ef02f3163326-p_e.jpg"
"1342 Roylen Rd, Oakville, ON L6H 1V4","L6H1V4","Oakville","ON","999999","4","2","","","2728.699","sqft","https://zillow.com/homedetails/1342-Roylen-Rd-Oakville-ON-L6H-1V4/2073256882_zpid/","43.457787","-79.70906","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f021ca23f5ca0b080e688e408ec98389-p_e.jpg"
"63 Washington Ave, Oakville, ON L6K 1W5","L6K1W5","Oakville","ON","999000","3","1","","","0.1","sqft","https://zillow.com/homedetails/63-Washington-Ave-Oakville-ON-L6K-1W5/447650756_zpid/","43.444782","-79.68179","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4142703bb52b0bf64a09e0388145d19f-p_e.jpg"
"3072 Stornoway Cir, Oakville, ON L6M 5H7","L6M5H7","Oakville","ON","999900","3","3","1752","570.72","1496.0448","sqft","https://zillow.com/homedetails/3072-Stornoway-Cir-Oakville-ON-L6M-5H7/449842355_zpid/","43.432636","-79.77794","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/ce2ef9e1de6f40f2418d02686601e528-p_e.jpg"
"1250 Marlborough Ct #28, Oakville, ON L6H 2W7","L6H2W7","Oakville","ON","889000","3","3","","","","","https://zillow.com/homedetails/1250-Marlborough-Ct-28-Oakville-ON-L6H-2W7/2060972436_zpid/","43.467262","-79.694565","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/3b3a0303b5cd3064165bd446f77999b6-p_e.jpg"
"54 The Greenery, Oakville, ON L6H 6J7","L6H6J7","Oakville","ON","999000","3","4","","","1609.8896","sqft","https://zillow.com/homedetails/54-The-Greenery-Oakville-ON-L6H-6J7/2072248130_zpid/","43.472836","-79.721794","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/89037a08301796687051ab6e7604b0db-p_e.jpg"
"445 Samford Pl, Oakville, ON L6L 4E7","L6L4E7","Oakville","ON","1418000","4","2","","","7475","sqft","https://zillow.com/homedetails/445-Samford-Pl-Oakville-ON-L6L-4E7/449715722_zpid/","43.414917","-79.7103","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4f7f3c6cad20a72c864cc886b6f98617-p_e.jpg"
"128 Garden Dr UNIT 420, Oakville, ON L6K 0H7","L6K0H7","Oakville","ON","798000","2","2","930","858.06","","","https://zillow.com/homedetails/128-Garden-Dr-UNIT-420-Oakville-ON-L6K-0H7/2069284288_zpid/","43.43652","-79.68028","CONDO","","","https://photos.zillowstatic.com/fp/339e3ba247cd2aed4e924ed82d0f48aa-p_e.jpg"
"2579 6th Line E UNIT 3, Oakville, ON L6H 0H7","L6H0H7","Oakville","ON","649333","2","2","","","","","https://zillow.com/homedetails/2579-6th-Line-E-UNIT-3-Oakville-ON-L6H-0H7/449808787_zpid/","43.478745","-79.72814","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/1a67d8affb5db017a4091ab8ff628818-p_e.jpg"
"2322 Wyandotte Dr, Oakville, ON L6L 2T6","L6L2T6","Oakville","ON","1399000","3","3","","","6720.7038","sqft","https://zillow.com/homedetails/2322-Wyandotte-Dr-Oakville-ON-L6L-2T6/2063719027_zpid/","43.407433","-79.72338","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/055bfab12667a48cc5cf920c59a6d1ad-p_e.jpg"
"3133 Hiram Ter, Oakville, ON L6M 0P7","L6M0P7","Oakville","ON","1699000","4","3","","","3611.6604","sqft","https://zillow.com/homedetails/3133-Hiram-Ter-Oakville-ON-L6M-0P7/2065744451_zpid/","43.4694","-79.74702","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b1f4fadaa854966929ce167c00622891-p_e.jpg"
"19 Hays Blvd #27, Oakville, ON L6H 0H8","L6H0H8","Oakville","ON","649999","2","2","","","","","https://zillow.com/homedetails/19-Hays-Blvd-27-Oakville-ON-L6H-0H8/2057143319_zpid/","43.478466","-79.72724","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/de0ccb8d10df149ffc573003bc9782da-p_e.jpg"
"2300 Upper Middle Rd W #223, Oakville, ON L6M 0T4","L6M0T4","Oakville","ON","699000","2","1","","","","","https://zillow.com/homedetails/2300-Upper-Middle-Rd-W-223-Oakville-ON-L6M-0T4/446858645_zpid/","43.427616","-79.75269","APARTMENT","","","https://photos.zillowstatic.com/fp/b7ea44564817f2fa018fab4ee756570a-p_e.jpg"
"2207 Elmhurst Ave, Oakville, ON L6J 5G4","L6J5G4","Oakville","ON","1899900","4","2","","","8769.9","sqft","https://zillow.com/homedetails/2207-Elmhurst-Ave-Oakville-ON-L6J-5G4/449632581_zpid/","43.47737","-79.64239","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/cd4fd3ae0d3a9faecf6ad35dd7d7b5f2-p_e.jpg"
"2244 Marine Dr #2244, Oakville, ON L6L 1C1","L6L1C1","Oakville","ON","1059000","4","2","","","","","https://zillow.com/homedetails/2244-Marine-Dr-2244-Oakville-ON-L6L-1C1/441142388_zpid/","43.398163","-79.704056","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/fda73dee9dc6c18dce77432323825738-p_e.jpg"
"1532 6th Line #14, Oakville, ON L6H 2P2","L6H2P2","Oakville","ON","849000","3","3","","","","","https://zillow.com/homedetails/1532-6th-Line-14-Oakville-ON-L6H-2P2/449628963_zpid/","43.465454","-79.711494","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/b11d58d7995e7cd5ab04be2dd6a3e96a-p_e.jpg"
"2021 6th Line #20, Oakville, ON L6H 4S2","L6H4S2","Oakville","ON","898900","3","3","","","","","https://zillow.com/homedetails/2021-6th-Line-20-Oakville-ON-L6H-4S2/2055265110_zpid/","43.46721","-79.71266","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/339a8539b8ee3fd4963850182950dfc0-p_e.jpg"
"2101 Salmon Rd, Oakville, ON L6L 1M2","L6L1M2","Oakville","ON","1750000","5","4","","","0.298989898989899","acres","https://zillow.com/homedetails/2101-Salmon-Rd-Oakville-ON-L6L-1M2/449649333_zpid/","43.403427","-79.70357","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b6b4b59ff58b098f379072b3459c77a4-p_e.jpg"
"244 Gatwick Dr, Oakville, ON L6H 7K3","L6H7K3","Oakville","ON","1239900","3","3","","","2109.1212","sqft","https://zillow.com/homedetails/244-Gatwick-Dr-Oakville-ON-L6H-7K3/449631048_zpid/","43.479286","-79.71379","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ff3ab20d6b3e57d80a5db5d07e0b108f-p_e.jpg"
"1521 Craigleith Rd, Oakville, ON L6H 7W3","L6H7W3","Oakville","ON","2669900","4","4","","","6291.53","sqft","https://zillow.com/homedetails/1521-Craigleith-Rd-Oakville-ON-L6H-7W3/449630003_zpid/","43.50302","-79.698456","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/125728a2b6a50c2cab5ac931312a4aa4-p_e.jpg"
"35 Chester St, Oakville, ON L6H 6J9","L6H6J9","Oakville","ON","1197000","3","3","","","1777.9872","sqft","https://zillow.com/homedetails/35-Chester-St-Oakville-ON-L6H-6J9/449629419_zpid/","43.47249","-79.7222","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/13810d2ca6d3f32f12fe36dc6745eb86-p_e.jpg"
"2459 Belt Ln, Oakville, ON L6M 5L9","L6M5L9","Oakville","ON","1199000","3","3","","","930.09","sqft","https://zillow.com/homedetails/2459-Belt-Ln-Oakville-ON-L6M-5L9/449629017_zpid/","43.418022","-79.75014","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/fc4f3e12c379787cb6cad3537831cfb1-p_e.jpg"
"266 Harold Dent Trl, Oakville, ON L6M 1S1","L6M1S1","Oakville","ON","1799900","3","4","","","3196","sqft","https://zillow.com/homedetails/266-Harold-Dent-Trl-Oakville-ON-L6M-1S1/2079828042_zpid/","43.477886","-79.74516","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/f97823314299381e3e1ac540a03e7e64-p_e.jpg"
"10 Timber Ln, Oakville, ON L6L 2Z3","L6L2Z3","Oakville","ON","3895000","4","5","3083","1263.38","4324","sqft","https://zillow.com/homedetails/10-Timber-Ln-Oakville-ON-L6L-2Z3/2055459066_zpid/","43.38693","-79.713","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/44139805452989572e853eb3b678ee15-p_e.jpg"
"65 Masterman Cres, Oakville, ON L6M 0W3","L6M0W3","Oakville","ON","1589990","4","4","","","3061.1196","sqft","https://zillow.com/homedetails/65-Masterman-Cres-Oakville-ON-L6M-0W3/448710175_zpid/","43.479465","-79.73559","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/5309f15fe4ceb10d82516a3472452835-p_e.jpg"
"489 Lakeshore Rd E, Oakville, ON L6J 1K4","L6J1K4","Oakville","ON","24980000","5","8","","","1.005","acres","https://zillow.com/homedetails/489-Lakeshore-Rd-E-Oakville-ON-L6J-1K4/2076624930_zpid/","43.452705","-79.66105","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/35e3fb59e668482614d0f1c9df4b6c5e-p_e.jpg"
"2020 Joshuas Creek Dr, Oakville, ON L6H 6E5","L6H6E5","Oakville","ON","2199000","4","4","","","9877.8096","sqft","https://zillow.com/homedetails/2020-Joshuas-Creek-Dr-Oakville-ON-L6H-6E5/2063757469_zpid/","43.492645","-79.68381","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/c4f1a95db53747a310180d5fe60f43da-p_e.jpg"
"3302 Rattlesnake Path, Oakville, ON L6M 5K4","L6M5K4","Oakville","ON","2900000","5","5","","","4500","sqft","https://zillow.com/homedetails/3302-Rattlesnake-Path-Oakville-ON-L6M-5K4/449637882_zpid/","43.47729","-79.748566","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4e5c8b3df1820e4cf9b05235f9b13f10-p_e.jpg"
"2320 Baronwood Dr, Oakville, ON L6M 4Z5","L6M4Z5","Oakville","ON","1649000","4","4","","","3244.4","sqft","https://zillow.com/homedetails/2320-Baronwood-Dr-Oakville-ON-L6M-4Z5/447577448_zpid/","43.43117","-79.76768","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/30ad9a3495f7431f53233907ee178d25-p_e.jpg"
"425 Threshing Mill Blvd, Oakville, ON L6H 0T4","L6H0T4","Oakville","ON","2120000","6","4","","","4692.3948","sqft","https://zillow.com/homedetails/425-Threshing-Mill-Blvd-Oakville-ON-L6H-0T4/346973641_zpid/","43.495106","-79.72196","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/dea1213f3e145949d6b778ab1033d39f-p_e.jpg"
"2488 Lakeshore Rd E, Oakville, ON L6J 6G2","L6J6G2","Oakville","ON","5595000","5","8","3720","1504.03","9020","sqft","https://zillow.com/homedetails/2488-Lakeshore-Rd-E-Oakville-ON-L6J-6G2/448968918_zpid/","43.48138","-79.62928","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/997a26500237f360730b174722205fac-p_e.jpg"
"1315 Pinegrove Rd, Oakville, ON L6L 2X2","L6L2X2","Oakville","ON","1350000","6","2","","","0.18","sqft","https://zillow.com/homedetails/1315-Pinegrove-Rd-Oakville-ON-L6L-2X2/2058029175_zpid/","43.423637","-79.70968","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f818c6c7ad9706e11222c0477222c674-p_e.jpg"
"2408 Edward Leaver Trl, Oakville, ON L6M 5M2","L6M5M2","Oakville","ON","1499000","5","6","","","3504.9364","sqft","https://zillow.com/homedetails/2408-Edward-Leaver-Trl-Oakville-ON-L6M-5M2/447461282_zpid/","43.419083","-79.74701","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/815a1e51a75ac887e1836d760e7a0736-p_e.jpg"
"2592 Andover Rd, Oakville, ON L6H 6C4","L6H6C4","Oakville","ON","1515000","5","4","","","4391.7235","sqft","https://zillow.com/homedetails/2592-Andover-Rd-Oakville-ON-L6H-6C4/449633052_zpid/","43.476982","-79.72925","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/569b25ddd19cdbeacfd310b57401916e-p_e.jpg"
"134 Abbey Ct, Oakville, ON L6J 4L1","L6J4L1","Oakville","ON","3268000","5","4","","","0.333","sqft","https://zillow.com/homedetails/134-Abbey-Ct-Oakville-ON-L6J-4L1/2060427648_zpid/","43.463127","-79.65189","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/2f33790d854c438c7239de07f7ff17a7-p_e.jpg"
"1137 Manor Rd, Oakville, ON L6M 1G3","L6M1G3","Oakville","ON","2038000","5","4","2713","751.2","5587.425","sqft","https://zillow.com/homedetails/1137-Manor-Rd-Oakville-ON-L6M-1G3/449642287_zpid/","43.438236","-79.71682","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/41e3410b186bbcca9044157511c8866f-p_e.jpg"
"1029 Oak Meadow Rd, Oakville, ON L6M 1J6","L6M1J6","Oakville","ON","1925000","4","3","2586","744.39","7272.1462","sqft","https://zillow.com/homedetails/1029-Oak-Meadow-Rd-Oakville-ON-L6M-1J6/448666104_zpid/","43.44519","-79.72083","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ecae82d325859de25e87ce29855b8589-p_e.jpg"
"27 Park Ave, Oakville, ON L6J 3X9","L6J3X9","Oakville","ON","10999998","5","8","","","0.49216368227731866","acres","https://zillow.com/homedetails/27-Park-Ave-Oakville-ON-L6J-3X9/2061158086_zpid/","43.45076","-79.65846","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/0ce2ca467a73887cadf823b086ad45d9-p_e.jpg"
"3183 Stornoway Cir, Oakville, ON L6M 5H7","L6M5H7","Oakville","ON","828000","3","3","","","1133.3811","sqft","https://zillow.com/homedetails/3183-Stornoway-Cir-Oakville-ON-L6M-5H7/2063807353_zpid/","43.4328","-79.777","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/7b1ae62ba8fd3db657366ad707df4da1-p_e.jpg"
"2346 Rebecca St, Oakville, ON L6L 2A9","L6L2A9","Oakville","ON","2929000","5","5","","","0.17","sqft","https://zillow.com/homedetails/2346-Rebecca-St-Oakville-ON-L6L-2A9/2075314739_zpid/","43.401394","-79.71595","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e10b6df1658a93b438442f87c77261e7-p_e.jpg"
"2165 Dunedin Rd, Oakville, ON L6J 5V2","L6J5V2","Oakville","ON","1789000","5","2","","","6612","sqft","https://zillow.com/homedetails/2165-Dunedin-Rd-Oakville-ON-L6J-5V2/448471942_zpid/","43.482765","-79.65203","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f4058efdb81d0cfa842f2688bb4ccb22-p_e.jpg"
"1008 Falgarwood Dr #1, Oakville, ON L6H 2P5","L6H2P5","Oakville","ON","568888","3","2","","","","","https://zillow.com/homedetails/1008-Falgarwood-Dr-1-Oakville-ON-L6H-2P5/2063779142_zpid/","43.47219","-79.68305","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/42564f5ce4519c28b1e587b81f44938c-p_e.jpg"
"421 Chartwell Rd, Oakville, ON L6J 4A4","L6J4A4","Oakville","ON","7249000","6","8","5196","1395.11","0.33321854912764004","acres","https://zillow.com/homedetails/421-Chartwell-Rd-Oakville-ON-L6J-4A4/2069736375_zpid/","43.462154","-79.66967","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/b8f04f0869bcce12cea6e5309b24b663-p_e.jpg"
"267 Eastcourt Rd, Oakville, ON L6J 4Y5","L6J4Y5","Oakville","ON","5750000","5","6","4283","1342.52","0.34297520661157027","acres","https://zillow.com/homedetails/267-Eastcourt-Rd-Oakville-ON-L6J-4Y5/448710994_zpid/","43.475487","-79.64598","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/2238b41e3d3e795b8c2015eafdd4db64-p_e.jpg"
"3286 Shelburne Pl, Oakville, ON L6L 5V9","L6L5V9","Oakville","ON","3998000","5","4","","","6376.584","sqft","https://zillow.com/homedetails/3286-Shelburne-Pl-Oakville-ON-L6L-5V9/2052920966_zpid/","43.380642","-79.71605","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/4d41cf4923fbba967c5a8bda020a16d4-p_e.jpg"
"1305 Ashwood Ter, Oakville, ON L6M 4A7","L6M4A7","Oakville","ON","1749900","4","5","","","4257.5076","sqft","https://zillow.com/homedetails/1305-Ashwood-Ter-Oakville-ON-L6M-4A7/449574377_zpid/","43.451893","-79.75013","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/e37795603e03e58e9c456a8ec8ac35f7-p_e.jpg"
"15 Chartwell Rd, Oakville, ON L6J 3Z3","L6J3Z3","Oakville","ON","12999999","5","7","","","0.5087894857667584","acres","https://zillow.com/homedetails/15-Chartwell-Rd-Oakville-ON-L6J-3Z3/352380160_zpid/","43.452168","-79.656","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/90696fa14ba9ae10792ca82d6a5b0599-p_e.jpg"
"1031 Lakeshore Rd W, Oakville, ON L6L 1E7","L6L1E7","Oakville","ON","5190000","5","7","","","0.3925619834710744","acres","https://zillow.com/homedetails/1031-Lakeshore-Rd-W-Oakville-ON-L6L-1E7/2077038619_zpid/","43.42332","-79.68973","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fa6cc6505e535ba115cbff117dc7d2c7-p_e.jpg"
"3101 Portree Cres, Oakville, ON L6M 5C4","L6M5C4","Oakville","ON","1499888","4","3","","","4574.2554","sqft","https://zillow.com/homedetails/3101-Portree-Cres-Oakville-ON-L6M-5C4/2067581693_zpid/","43.429207","-79.77103","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/8322b92f21edfb6a2c766579a794975a-p_e.jpg"
